texto|autor_nombre|autor_apellido|titulo|año|carrera
El objetivo de esta tesis es elaborar un estudio de las condiciones asociadas al aprendizaje desde casa a nivel preescolar y primaria en el municipio de NicolásRomero a partir de la cancelación de  clases presenciales  ante  la  contingencia  sanitaria  del  Covid-19  y  el  entorno  familiar  del estudiante. En México, la Encuesta para la Medición del Impacto COVID-19 en la Educación (ECOVID-ED) 2020,  es  un  proyecto  que  propone  el  INEGI  y  realiza  de  manera  especial  para  conocer  las necesidades de la población estudiantil de 3 a 29 años de edad, saber qué está sucediendo con su  entorno  inmediato,  las  condiciones  en  las  que  desarrollan  sus  actividades  académicas y  el apoyo que realizan padres, tutores o cuidadores principales de las personas en edad formativa. La ECOVID-ED 2020 se llevó a cabo de manera especial con el objetivo de conocer el impacto de la cancelación provisional de clases presenciales en las instituciones educativas del país para evitar  los  contagios  por  la  pandemia  COVID-19  en  la  experiencia  educativa  de  niños,  niñas, adolescentes y jóvenes de 3 a 29 años, tanto en el ciclo escolar 2019-2020, como en ciclo 2020-2021. En  este  ámbito  de  investigación,  el  Instituto  de  Investigaciones  sobre  la  Universidad  y  la Educación  (IISUE)  de  la  Universidad  Nacional  Autónoma  de  México  público  en  2020  la  obra“Educación y Pandemia: Una visión académica” que se integran 34 trabajos que abordan la muy amplia  temática  de  la  educación  y  la  universidad  con  reflexiones  y  ejercicios  analíticos estrechamente relacionadas en el marco coyuntural de la pandemia COVID-19.La tesis se presenta en tres capítulos: En  el  capítulo  uno  se  realizará  una  descripción  del  aprendizaje  de  los  estudiantes  a  nivel preescolar y primaria del municipio de NicolásRomero, Estado de México, que por motivo de la contingencia sanitaria contra el Covid-19 tuvieron que concluir su ciclo académico 2019-2020 y el actual ciclo 2020-2021 en su casa debido a la cancelación provisional de clases presenciales y bajo la tutoría de padres, familiar o ser cercano; así como las horas destinadas al estudio y las herramientas tecnológicas como teléfonos inteligentes, computadoras portátiles, computadoras de escritorio, televisión digital y tabletaEn  el  capítulo  dos,  se  presentarán  las  herramientas  necesarias  para  la  captación  de  la información mediante técnicas de investigación social, a través de las cuales se mencionará, la descripción, contexto y propuestas del mismo, considerando los diferentes tipos de cuestionarios, sus componentes y diseño, teniendo así de manera específica la diversidad de ellos, que llevarán como finalidad realizar el cuestionario en línea para la presente investigación. Posteriormente, se podrá destacar las fases del diseño de la investigación, que se realizarán mediante una prueba  piloto tomando como muestra a distintos expertos en el tema. De esta manera se obtendrá la información relevante para estudiarla a profundidad.En el capítulo tres, se realizará el análisis apoyado de las herramientas estadísticas, las cuales ofrecen  explorar  la  muestra  de  una  manera  relevante,  se  aplicará  el  método  inferencial  para expresar  la  información  y  predecir  las  condiciones  asociadas  al  autoaprendizaje,  la  habilidad pedagógica  de  padres  o  tutores,  la  convivencia  familiar,  la  carga  académica  y  actividades escolares y condicionamiento tecnológico,con la finalidad de inferir en la población. Asimismo, se  realizarán  pruebas  de  hipótesis,  tablas  de  contingencia  y  matriz  de  correlación.  Por consiguiente,  los  resultados  obtenidos  de  las  estadísticas  se  interpretarán  para  describir  las condiciones asociadas y como impactan en la enseñanza de preescolar y primaria desde casa.|MarÃ­a de los Ãngeles|Blancas Regalado|AnÃ¡lisis de las condiciones del aprendizaje desde casa en los alumnos de preescolar y primaria del municipio de NicolÃ¡s Romero |2022|Actuaría
El paso veloz de los avances del internet y poder computacional en el siglo XXI han traídoa la puerta de la estadística nuevos retos y oportunidades, particularmente en el área de laexploración, análisis y predicción de datos. Las herramientas y conocimientos que obtenemosen la licenciatura en actuaría en la Facultad de Ciencias de la UNAM nos hacen los candidatosideales para enfrentar esta nueva era de información, y uno de los campos con perspectivasmuy prometedoras es el aprendizaje estadístico automatizado ostatistical machine learning.En esta tesis se abordarán dos algoritmos eficaces para la predicción que, aunque surgieron afinales del siglo XX, son usados ampliamente en la industria y la investigación actuales. EstossonRandom Forest, propuesto por Leo Breiman, yboostingpor gradiente, desarrollado porJerome Friedman.Ambos métodos se basan en un algoritmo antecesor, los árboles de decisiónCART(Classificación and Regression Trees), introducidos por los dos autores arriba mencionados, junto conRichard Olsen y Charles Stone. La decisión de presentar este tema surgió de una fascinaciónpersonal con el mecanismo de los árboles de decisión de llegar a predicciones, por medio dela división de una base de datos heterogénea en subconjuntos homogéneos. Dicha idea tam-bién permite una interpretación simple e intuitiva de la base de datos a la mano, a través desu representación gráfica. Esta fascinación continuó con el conocimiento deRandom Forestyboosting: el primero es un conjunto de árboles, todos idénticamente distribuidos, donde se hacela predicción siguiendo un principio de democracia; el segundo construye árboles sucesivamente,cada uno con base en los que lo precedieron, para que, al terminar, la suma de todos sea lapredicción final. Aunque el enfoque es únicamente en estos dos algoritmos, las técnicas mostradas de pre-paración de los datos, aplicación de los algoritmos y selección y evaluación de los ajustes sonestándares en la comunidad demachine learning, por lo que los mismos pasos puestos en prácticapueden ser usados en otros algoritmos, aquellos donde se busque predecir una nueva observaciónya partir de una o más variables explicativasx, con base en un conjunto de datos observados.En este sentido, el primer capítulo tocará una breve historia de la evolución del aprendizajeestadístico, empezando con un ejemplo familiar para los estudiantes y enseñantes de estadística:el modelo de regresión lineal. Esto da entrada a las diferentes metas de esta disciplina que,inspirado en el trabajo de Efron (2020), se discuten como estimación, atribución y predicción.La regresión lineal ajusta un modelo queestimacoeficientes que expliquen un fenómeno através de las variables explicativas,atribuyeuna significancia a dichos coeficientes y sirve parapredecirinformación nueva. Con un enfoque en la predicción, se hablará de las funciones depérdida, útiles para construir y evaluar algoritmos de predicción, además de su aplicación en laestimación del error de predicción. Serán explicadas las diferentes versiones de esa estimación:error aparente, errores de conjuntos de entrenamiento y de prueba, error porrepeated training-test(referida en Jameset al.(2016) comovalidation set approach) y error por validacióncruzada. Además, se mencionarán componentes importantes en los ajustes: el sesgo y la varianza.El segundo capítulo es donde se presentan los algoritmos centrales de la tesis. Empezandopor los árboles de decisión, tanto en el caso de clasificación (cuando la variable a predecir escategórica) como en el de regresión (cuando pertenece a los números reales). Se hablará desu construcción y técnicas para controlar su tamaño, y se complementará con imágenes parailustrar la mecánica de los árboles. Aunque los árboles son altamente interpretables y con bajosesgo (es decir, el valor esperado de la estimación no es muy diferente al valor real), pueden sermuy inestables, afectando la predicción datos nuevos.Por ello, el capítulo continuará con la propuesta para tomar el bajo sesgo de los árbolesy reducir su varianza:Random Forest, además de su antecesorbagging. Ambos se basan enboostrap, una herramienta de remuestreo poderosa, y se basan en una colección de árboles,cuyo promedio reduce dramáticamente la varianza. A pesar de ser un algoritmo totalmente|Luis Carlos|CortÃ©s Ruiz|Boosting con Ã¡rboles de decisiÃ³n y random forest |2022|Actuaría
Al estudiar una poblaci ́on humana desde un enfoque demogr ́afico, podemos observarelementos caracter ́ısticos, como su tama ̃no, distribuci ́on o composici ́on y los procesosque la determinan. Con el an ́alisis de estos elementos, es posible dise ̃nar y planificarpol ́ıticas y programas sociales, econ ́omicos y de poblaci ́on de mejor manera. Este tipode estudios conllevan el uso de datos cuantitativos que se obtienen regularmente de loscensos, de las Estad ́ısticas Vitales y de encuestas nacionales sociodemogr ́aficas. Adem ́asde contar con los datos, es importante darle un procesamiento adecuado y as ́ı obtenerla informaci ́on pertinente al tema de inter ́es.En M ́exico, el Instituto Nacional de Estad ́ıstica Geograf ́ıa (INEGI) es el principalproveedor de informaci ́on sobre el territorio, los recursos, la econom ́ıa y la poblaci ́on,con la cual es posible conocer las caracter ́ısticas de nuestro pa ́ıs y ayudar a la toma dedecisiones (INEGI 2018). Algunos de los quehaceres del Instituto, son llevar a cabo loscensos nacionales, las encuestas por muestreo y generar las estad ́ısticas vitales a partirde los registros administrativos. Todo esto desde principios de la d ́ecada de los ochenta,cuando fue creado.En el  ́ambito del comportamiento reproductivo de la poblaci ́on, los datos que pro-porciona  el  Instituto  constituyen  un  pilar  fundamental  para  el  conocimiento  de  losniveles y tendencias de la fecundidad en nuestro pa ́ıs, que son elementos indispensablespara comprender la din ́amica demogr ́afica (CONAPO 2005). Las fuentes de informaci ́onque brinda el INEGI sobre los nacimientos que ocurren en el pa ́ıs son: los Censos dePoblaci ́on y Vivienda, con la pregunta de la fecha de nacimiento del  ́ultimo hijo nacidovivo, las Estad ́ısticas Vitales de Natalidad con los nacimientos registrados y las encues-tas por muestreo, particularmente la Encuesta Nacional de la Din ́amica Demogr ́afica(ENADID), con la historia de embarazos de mujeres en edad f ́ertil.Este trabajo tiene como finalidad desarrollar el paquetefertilityRatesescrito en ellenguaje  de  programaci ́onRque  mediante  el  uso  de  los  datos  que  proporcionan  lashistorias de embarazos1de las encuestas, realice estimaciones puntuales y de intervalo Al estudiar una poblaci ́on humana desde un enfoque demogr ́afico, podemos observarelementos caracter ́ısticos, como su tama ̃no, distribuci ́on o composici ́on y los procesosque la determinan. Con el an ́alisis de estos elementos, es posible dise ̃nar y planificarpol ́ıticas y programas sociales, econ ́omicos y de poblaci ́on de mejor manera. Este tipode estudios conllevan el uso de datos cuantitativos que se obtienen regularmente de loscensos, de las Estad ́ısticas Vitales y de encuestas nacionales sociodemogr ́aficas. Adem ́asde contar con los datos, es importante darle un procesamiento adecuado y as ́ı obtenerla informaci ́on pertinente al tema de inter ́es.En M ́exico, el Instituto Nacional de Estad ́ıstica Geograf ́ıa (INEGI) es el principalproveedor de informaci ́on sobre el territorio, los recursos, la econom ́ıa y la poblaci ́on,con la cual es posible conocer las caracter ́ısticas de nuestro pa ́ıs y ayudar a la toma dedecisiones (INEGI 2018). Algunos de los quehaceres del Instituto, son llevar a cabo loscensos nacionales, las encuestas por muestreo y generar las estad ́ısticas vitales a partirde los registros administrativos. Todo esto desde principios de la d ́ecada de los ochenta,cuando fue creado.En el  ́ambito del comportamiento reproductivo de la poblaci ́on, los datos que pro-porciona  el  Instituto  constituyen  un  pilar  fundamental  para  el  conocimiento  de  losniveles y tendencias de la fecundidad en nuestro pa ́ıs, que son elementos indispensablespara comprender la din ́amica demogr ́afica (CONAPO 2005). Las fuentes de informaci ́onque brinda el INEGI sobre los nacimientos que ocurren en el pa ́ıs son: los Censos dePoblaci ́on y Vivienda, con la pregunta de la fecha de nacimiento del  ́ultimo hijo nacidovivo, las Estad ́ısticas Vitales de Natalidad con los nacimientos registrados y las encues-tas por muestreo, particularmente la Encuesta Nacional de la Din ́amica Demogr ́afica(ENADID), con la historia de embarazos de mujeres en edad f ́ertil.Este trabajo tiene como finalidad desarrollar el paquetefertilityRatesescrito en ellenguaje  de  programaci ́onRque  mediante  el  uso  de  los  datos  que  proporcionan  lashistorias de embarazos1de las encuestas, realice estimaciones puntuales y de intervalo|YazmÃ­n Berenice|GonzÃ¡lez Mayorga|FertilityRates :paquete desarrollado en R para estimar tasas de fecundidad con datos de las historias de embarazos |2022|Actuaría
De acuerdo con la OMS, las enfermedades cardiovasculares sonun conjunto de trastornos del corazón y de los vasos sanguíneos.Estas enfermedades en los últimos años han mostrado un creci-miento en México y en el mundo. Según la Encuesta Nacionalde Salud y Nutrición (ENSANUT)2018se estima que al añoocurren aproximadamente ciento cuarenta y dos mil defuncio-nes por este motivo, siendo así la primera causa de muerte enel país, lo cual despierta la curiosidad por saber si esto sucedeestadísticamente de igual forma en cualquier región o no.Los datos sobre las enfermedades cardiovasculares puedenregistrarse según el lugar donde vive la persona que la padece.Los datos espaciales pueden analizarse estadísticamente comocualquier otro tipo, sin embargo, cuentan con la singularidadde tener coordenadas que pueden aportar cierta informaciónadicional con la que se pueden tener diversos resultados.Para este trabajo se utilizaron datos de la ENSANUT2012,en donde a las personas encuestadas se les preguntó si algúnmédico les diagnosticó un infarto, angina de pecho, insuficienciacardiaca, hipertensión y/u otra enfermedad del corazón. Dadoque en México cada municipio tiene diferentes característicasy goza de autonomía administrativa y de participación en losproyectos de desarrollo comunitario se creyó útil e importantedesarrollar esta tesis a dicho nivel geográfico.Uno de los principales retos para estimar el riesgo relativo depadecer alguna enfermedad cardiovascular en cada municipiode México fue la cantidad de datos faltantes, ya que en la EN-SANUT solo ochocientos ciencuenta de dos mil cuatrocientoscincuenta y siete municipios fueron encuestados. Esta circuns-tancia es la principal motivación para la realización de esta tesis,ya que mediante técnicas de estimación y análisis de datos deestas enfermedades se pueden tomar decisiones en relación aldiagnóstico, evaluación y planeación de programas de salud anivel nacional. El objetivo del presente estudio fue estimar el riesgo relativode padecer alguna enfermedad cardiovascular en cada muni-cipio  mexicano  para  personas  mayores  a20años  por  mediode la estadística espacial, utilizando el modelo de Besag et al(1991) ajustado por medio de aproximaciones de Laplace. Losresultados se representaron en mapas que permiten visualizarde mejor forma el riesgo relativo en cada municipio, para cadagrupo de edad y sexo.Esta  tesis  está  dividida  en  tres  capítulos:  en  el  primero  sepresentan las herramientas fundamentales de la estadística es-pacial  e  información  teórica  relacionada  a  la  autocorrelaciónespacial en los modelos estadísticos, los modelos autorregresi-vos condicionales y simultáneos, y un apartado dedicado a laaproximación de Laplace anidada integrada, INLA. En el capítu-lo posterior se habla de la problemática general a nivel mundialy nacional, factores de riesgo y transiciones epidemiológicas delas enfermedades no transmisibles, en particular de las enferme-dades cardiovasculares. Por último, se explica la aplicación delmodelo de Besag (1991), se reportan los resultados obtenidos yuna discusión sobre los mismos. Las referencias y el código deRpueden ser consultados al final del trabajo como apéndice.|Luis Eduardo|GonzÃ¡lez Medina|AnÃ¡lisis espacial de las enfermedades cardiovasculares en MÃ©xico :modelos predictivos |2022|Actuaría
El objetivo del presente trabajo es realizar un análisis identificando los factoresqueintervienenen la creación deun Seguro enfocado aautomóvilescontecnología nuevaymostrando que el mercado de seguros necesitacrear productospara segmentosque empiezana crecer a nivel mundial.En  México  existe  el  mercado  de  seguros  el  cual cuenta  con  una  estructura  sólida  para  hacer  frente  a  los riesgosactualesy  además  existen  diversas  opciones,  aun  con  esta  solidez  en  el  sector  asegurador  hay mucho mercado potencial en el ramo de Automóviles.Actualmente,los  autos  eléctricos  que  circulan  en  México  cuentan  con  un  seguro  que  no  considera  las características  especiales,  cuentan  con  el  seguro  tradicional  que  está  dirigido  a  autos  con  un  motor  de combustión común, esto ocurre porque hoy no existe en el mercadoun seguro dirigido solo a autos eléctricos y mostraréestas diferencias a considerar, por ejemplo:las tarifas actuales se calculan considerando un riesgo de un automóvilcon combustible en el cual las cuotas consideran autopartes de un vehículo con motor de gasolina, no se considera pagar partes básicaspara automóvileléctrico, las asistencias viales que tiene el seguro son de pasa corrientey galones de gasolina en caso de que se ocupe etc.,no se cuenta con una asistencia que tenga características especiales para autos eléctricoscomo recarga de batería.Por  lo  anterior,en  el  mercado no  existe  un  seguro  dirigido  totalmente  a  un automóvil de  características eléctricas,esto es una necesidadqueen poco tiempo perfila a tener una gran demanda.|Claudia Yenit|HernÃ¡ndez Pedro|Propuesta de metodologÃ­a de anÃ¡lisis para un nuevo producto dirigido a automÃ³viles elÃ©ctricos |2022|Actuaría
El objetivo de esta tesises desarrollar un análisis de regresión logística para estimar la relación existente entre una variable dependiente no métrica por conductas de riesgo en la sexualidad del  adolescente  y  un  conjunto  de  variables  independientes  métricas  o  no  métricas  que determinan la salud sexual y reproductiva.La adolescencia esun periodo en el que,con el inicio de la actividad sexual, se adoptan patrones de comportamiento que tendrán efectos en la salud sexual y reproductiva que pueden impedir el potencial de desarrollo durante la adultez; por ello, las intervenciones tempranas en general y  las  relacionadas  con  la  salud  sexual  y  reproductiva  en  particular,  son  tan  importantes  y presentan nuevos retos para identificar las áreas de oportunidad.Es  importante  considerar  que,la  adolescencia  es  una  etapa  donde  los  jóvenes  son  más vulnerables  y  pueden  ser  víctimas  de  diferentesfactores  de  riesgo,  entre las  cuales  se mencionan  el  consumo  de  drogas,  embarazo  precoz,  mala  alimentación,  infecciones  de transmisión sexual, depresión y suicidio entre otras.Los métodos de evaluación y análisis para desarrollar modelos matemáticos que permiten una visualización del comportamiento de las variables permiten el análisis correlacional para estimar la  relación  existente  entre  una variable  dependiente  no  métrica  y  un  conjunto  de  variables independientes métricas ono métricas; lo que nos ayudaráa tener una mejor visualización de los resultados al evaluar indicadores de salud sexual y reproductiva. Asimismo, el análisis tiene el  objetivo  de  que  se  puedan  examinar  las  consecuencias  que  conlleva  un  mal  uso  de  la sexualidad,así  como  los  beneficios  que  se  llegan  a  obtener con  eluso  del  condón  como  un método  anticonceptivo  para  disminuir  los  factores  de  riesgo  en  la  adolescencia  como  loson embarazos no deseados o infecciones de transmisión sexual.  La  interpretación  de  datos  estadísticos  es  fundamental  para  comprender  el  contexto  de  la adolescencia  dentro  de  la  sociedad  mexicana,  ya  que  con  el  paso  del tiempo  seha  ido transformando deacuerdo  conlas  necesidades  y  costumbres  de  la  población  en  la  que  se desarrollan. Por lo tanto,es de suma importancia reconocer que una parte fundamental parasu  pleno  desarrollo  es  contar  con  elementos  necesarios  para  tener  una  buena  salud  sexual  y reproductiva,así como tener conocimiento en educación integral en sexualidad.El  presente  trabajo  está  basado  en  un  análisis  estadístico  sobre  indicadores  seleccionados  de salud sexual y reproductiva que nos ayudarán a evaluar el comportamiento de la población, con el  objetivo  de  identificar  los  elementos  necesarios  para  plantear  un  modelo  estadístico adecuado para evaluarlos indicadores de salud sexual y reproductiva. La tesisse divide en tres capítulos: El   primer   capítulo,   está   integrado   por   el   marco   teórico, donde   se   abordan   conceptos relacionados  con  la  salud  sexual  y  reproductiva  en  la  adolescencia.  Así  como  los  factores  de riesgo  a  los  que  se  enfrentan,  esto  con  la  finalidad  de  colocarnos  en  un  contexto  que  nos permita comprender con mayor profundidaden el planteamiento de la presente investigación.En  el  segundo  capítulo,  se  expresa  el  modelo  de  regresión logísticaque  permite  conocer  las variables con las que se trabajarán, así como el desarrollo matemático que nos permita observar el análisis  correlacional  de  datos  estadísticos  basados  en  las  preguntas  orientadoras.  De  la misma   forma   se   construye   el   modelo   matemático   que   nos   permitirá   desarrollar   el planteamiento   teórico   y   así   poder   presentar   el   análisis   de   la   información   con   las correspondientes fuentes de información que se irán utilizando. Para  continuar,  el  tercer  capítulo  consta  de  elementos  teóricos  que  permiten  interpretar  y presentar los datos, así como un análisis de los indicadores de salud sexual y reproductiva en la adolescencia desde diferentes perspectivas con la finalidad de observar el comportamiento de las  variables  conforme  a  las  distintas  problemáticas  que  enfrentan  los  jóvenes.  Asimismo,  el análisis tiene el objetivo de que se puedan examinar las consecuencias que conlleva un mal uso de la sexualidad ylos beneficios que se llegan a obtener con el uso del condón como un método anticonceptivo para disminuir los factores de riesgo en la adolescencia como lo son embarazos no deseados o infecciones de transmisión sexual. Para finalizar se exponen las conclusiones del presente trabajo, así como los anexos, gráficas y tablasque sustentarán la evidencia de los procesos elaborados y la bibliografía que sustenta el marco teórico de dicho documento.  |Karla Alejandra|Padilla Monterrosa|AnÃ¡lisis de regresiÃ³n logÃ­stica para indicadores de salud sexual y reproductiva |2022|Actuaría
Los  datos  de  variables  múltiples  se  presentanen  todaslas  ramas  de  la  ciencia,  se obtienen  cuando  uninvestigador  mide  o  evalúa  más  de  un  atributode  interés  o características de unaunidad experimental (cualquier objeto o concepto que se puede medir o evaluar de alguna manera). Amedida que incrementa el número de variables y   unidades   experimentales,   laimportancia   y   uso   de   métodos  multivariados   esimprescindible,  puesto  que  algunos de  ellos  permiten  resumir  grandes  cantidades  de información o bien encontrar relacionesentre:1) variablesrespuesta2) unidades experimentales3) tanto las variables respuesta como las unidades experimentales.En el desarrollo de esta tesinase describeel modelo de regresión logística, un método multivariado  muy  utilizado  en  epidemiología.Este  modelo  matemático  será aplicado,para  determinar factores  asociadosa desarrollar hipertensión  arterial  en  adultos residentes de Santa María Atzompa, Oaxaca.Debido a que estudios en México han sugerido que personas que realizan actividades artesanales, en especial relacionadoscon la fabricación del barro vidriado, tienen altas concentraciones de plomo en sangre, aunado a esto quese ha demostrado que este metaltiene efectos adversos en la salud como: daños en el sistema renal, neurológico, reproductor  y  cardiovascular,  surge la  inquietud    de  estimar  la  influencia  que  los niveles   de   plomo   tienen   sobre   la   probabilidad   de   que   una   persona   padezca hipertensión arterial. En el desarrollo de está tesinase pretende dar respuesta a las siguientes interrogantes, tanto del ámbito técnico comodelpráctico:¿Cuándo se debe utilizar un modelo logístico?¿Qué criterios se utilizan para incluir una variable?¿Cómo se estiman los coeficientes y qué significado tienen en el modelo?¿Cuáles son los criterios para determinarel mejor modelo logístico?¿Qué variables influyen en la probabilidad de hipertensión arterial, mediante un modelo logístico, en la población de Santa MaríaAtzompa, Oaxaca?¿Los altos niveles de plomo en sangre, sonun factor de riesgo de hipertensión arterial en la población estudiada? |Ivett Selene|Quintana Nogueda|AplicaciÃ³n de un modelo logÃ­stico para detectar la relaciÃ³n de altos niveles de plomo en sangre en la presiÃ³n arterial |2022|Actuaría
Las Cuentas Nacionales son un sistema integrado de cuentas macroeconómicas el cual tie-ne como propósito reflejar los aspectos con mayor relevancia en un país. En México surealización está a cargo del Instituto Nacional de Geografía y Estadística (INEGI).Su objetivo es presentar la información de forma compacta y coherente, en ella se muestranlos flujos de producción, el consumo y la acumulación que se genera un país durante unperiodo de tiempo determinado. Esto se realiza a través de diversos componentes, entrelos cuales se encuentran los Cuadros de Oferta y Utilización, sobre los cuales versará elsiguiente trabajo.Los Cuadros de Oferta y Utilización (COU) son un conjunto de matrices las cuales resumenla disponibilidad de bienes y servicios (oferta) y el destino de los mismos (utilización) entrelos diversos sectores económicos. Además de esto, en nuestro país estos se usan para lacreación de la Matriz Insumo Producto (MIP), la cual es una representación ordenada yresumida del equilibrio entre la oferta y la utilización de bienes y servicios en la economía.Su utilidad se ve limitada por su periodicidad, ya que al menos en la región latinoamericanase publican de manera quinquenal, la causa es la periodicidad de las fuentes de información,ya que está ligada a los censos económicos. Sin embargo, existen métodos para lograr laproyección de años posteriores contando sólo con información parcial.En el presente trabajo se desarrolló un proceso a través del método RAS para lograr laproyección de los COU entre quinquenios que sólo se tiene información limitada. Particu-larmente se uso de la información pública que se encuentra en el portal de INEGI respectoa las Cuentas Nacionales por lo que el proceso puede replicarse sin ningún inconvenientepor cualquier persona.En los capítulos subsecuentes se describe desde el origen hasta el proceso que implica elCOU y la MIP.En específico el capítulo 4 contiene todos los detalles de la intervención, el cual se divideen 3 secciones. La sección 4.1 presenta el sustento académico del trabajo y a su ves se frag-menta en 3 sectores; la primera describe de manera detallada los componentes y supuestosque deben de cumplir los COU, la segunda se explica el procedimiento que se lleva a cabopara la obtención de la MIP a partir de los COU y por último se expone el método GRAS;a continuación la sección 4.2 delinea el sistema que se implemento para producir los COU ylas peculiaridades del mismo, en esta se integra el código que se diseño en R para ejecutarel método RAS; y finalmente en la sección 4.3 se presentan los resultados y conclusionesen cuanto al procedimiento que se efectuó.El proceso se realizó para la construcción de los COU de los años 2010-2012 y 2014-2017 |Lizbeth Areli|Trejo Serrano|ActualizaciÃ³n de cuadros de oferta y utilizaciÃ³n y matrices de insumo producto simÃ©tricas |2022|Actuaría
Al rededor del siglo cuarto después de cristo, el imperio de Romano habría de en-frentarse a la Liga Latina, una confederación con casi mil años de historia conformadapor treinta tribus y aldeas.Tras la victoria del imperio en Antium en 338 a. C., el ejército romano debíade sobreponerse sobre el resto de la confederación, sin embargo, no se impondríandirectamente con la fuerza, más bien, otorgaron la posibilidad de tener la ciudadaníaromana a ciertos grupos e incorporarse al imperio, a otras se les declaró independientesy los últimos grupos fueron diezmadas para después poder ser colonizados.En años posteriores, las ciudades competían por el favor romano y solicitabanpoder pertenecer al imperio.Divide y vencerás, en la guerra, en la ciencia y en la vida, implica enfrentary resolver un problema complejo separándolo en componentes más sencillas tantasveces como sea necesario, por ejemplo:En economía aplicamos la descomposición para realizar el análisis de series detiempo, pues en el proceso separamos la tendencia, la estacionalidad y el ruido blanco,para a cada parte confirmamos hipótesis y aplicamos pruebas distintas que nos dan un mayor entendimiento de lo que sucede a través del tiempo y saber si el modelo esaplicable a las observaciones|JosÃ© Carlos del|Valle LÃ³pez|MÃ©todo extendido de ajuste de distribuciones |2022|Actuaría
un mayor entendimiento de lo que sucede a través del tiempo y saber si el modelo esaplicable a las observaciones En  esta  investigación,  se  proporcionan  al  lector,  todos  los  elementos  relacionados  con  la elaboración y aplicación de laPrueba de Solvencia Dinámica, de manera estructurada,con la finalidad de que sea una guía en todo lo relacionado con este concepto.La  informaciónaquí  presentada  fue  recopilada  de  diversas  fuentes,  que  van  desde papersteóricos  y  material  didáctico,hasta  los  documentos  relacionados  con  lo  que  establece  la regulación en México.En  elcapítulo  I,  se  abordan  los  antecedentes  históricos  a  nivel  mundial  de  la Prueba  de Solvencia Dinámica, haciendo hincapié en México, explicandolos fundamentos matemáticos y  actuariales  para  la  realización  de  la  mismaen  nuestro  país, así  como la  preparación  del marco normativo para su implementación.En  el  capítulo  II,  se  presenta  todo  lo  relativo  a  la  normatividad  de  la Prueba  de  Solvencia Dinámicaen  México,  comolo  manifestado  en  la  Ley  de  Instituciones  de  Seguros  y  de Fianzas, la Circular Única de Seguros y Fianzas, y el Estándar de Práctica Actuarial.En el capítuloIII, se aborda todo lo relacionado conlas fórmulas de proyección a nivel cartera para la realización de la Prueba de Solvencia Dinámica, dicho capítulo presenta las fórmulas para  las  proyecciones  de  Seguros a  Largo  Plazo  y  a  Corto Plazo,  también  para  el  RCS  y Margen de Solvencia.Enel Capítulo IV, se muestra de manera gráfica la realización de una Prueba de Solvencia Dinámicapara el escenario base, con una aseguradoraficticia, denominada “Seguros Marlex, S.A. de C.V.”, la cual opera  únicamente  daños,  específicamente  los  ramos de  incendio  y automóviles.  Asimismo,  se  realiza  su  respectivo  análisis  de  los  resultadosobtenidos, identificando  si  la  Compañía  es  solvente  o  por  el  contrario,  puede  caer  en  insolvencia  en cualquier momento.|MarÃ­a Vanessa Joseline|Aguilar Zavala|Modelo de stress testing para compaÃ±Ã­as de seguros |2021|Actuaría
